X;Y;id_local;reseau_loc;nom_loc;id_osm;num_iti;code_com_d;ame_d;regime_d;sens_d;largeur_d;local_d;statut_d;revet_d;code_com_g;ame_g;regime_g;sens_g;largeur_g;local_g;statut_g;revet_g;access_ame;date_maj;trafic_vit;lumiere;d_service;comm;source;project_c;ref_geo
1.22809622695412;45.8220956318652;;;;way/407947390;;"87085";AMENAGEMENT MIXTE PIETON VELO HORS VOIE VERTE;AIRE PIETONNE;BIDIRECTIONNEL;;TROTTOIR;EN SERVICE;;"87085";AUCUN;;;;;EN SERVICE;;;2025-12-29;;;;;OpenStreetMap;WGS84;
1.22908595748798;45.8214961101362;;;;way/964385772;;"87085";VOIE VERTE;;BIDIRECTIONNEL;;TROTTOIR;EN SERVICE;RUGUEUX;"87085";AUCUN;;;;;EN SERVICE;RUGUEUX;;2025-03-29;;true;;;OpenStreetMap;WGS84;
1.2300439752768;45.8209717554104;;;;way/964862058;;"87085";AMENAGEMENT MIXTE PIETON VELO HORS VOIE VERTE;AIRE PIETONNE;BIDIRECTIONNEL;;TROTTOIR;EN SERVICE;LISSE;"87085";AUCUN;;;;;EN SERVICE;LISSE;;2021-07-16;;true;;;OpenStreetMap;WGS84;
1.23001463313392;45.8211960423861;;;;way/737656322;;"87085";AMENAGEMENT MIXTE PIETON VELO HORS VOIE VERTE;AIRE PIETONNE;BIDIRECTIONNEL;;TROTTOIR;EN SERVICE;LISSE;"87085";AUCUN;;;;;EN SERVICE;LISSE;;2021-07-16;;;;;OpenStreetMap;WGS84;
1.2302097739407;45.8208966516359;;;;way/964862059;;"87085";VOIE VERTE;;BIDIRECTIONNEL;;TROTTOIR;EN SERVICE;RUGUEUX;"87085";AUCUN;;;;;EN SERVICE;RUGUEUX;;2025-03-29;;true;;;OpenStreetMap;WGS84;
1.23030276726727;45.8212533182454;;;;way/964862062;;"87085";AMENAGEMENT MIXTE PIETON VELO HORS VOIE VERTE;AIRE PIETONNE;BIDIRECTIONNEL;;TROTTOIR;EN SERVICE;LISSE;"87085";AUTRE;;UNIDIRECTIONNEL;;CHAUSSEE;EN SERVICE;LISSE;;2021-07-16;;true;;;OpenStreetMap;WGS84;
1.23053299462798;45.8206908437457;;;;way/40205030;;"87085";PISTE CYCLABLE;ZONE 30;UNIDIRECTIONNEL;;TROTTOIR;EN SERVICE;LISSE;"87085";AUCUN;ZONE 30;;;;EN SERVICE;LISSE;;2025-09-21;"30";;;;OpenStreetMap;WGS84;
1.23050827023402;45.8209320828746;;;;way/737656321;;"87085";AMENAGEMENT MIXTE PIETON VELO HORS VOIE VERTE;AIRE PIETONNE;BIDIRECTIONNEL;;TROTTOIR;EN SERVICE;LISSE;"87085";AUCUN;;;;;EN SERVICE;LISSE;;2023-07-16;;;;;OpenStreetMap;WGS84;
1.2304576222517;45.8207981857844;;;;way/964862063;;"87085";AMENAGEMENT MIXTE PIETON VELO HORS VOIE VERTE;AIRE PIETONNE;BIDIRECTIONNEL;;TROTTOIR;EN SERVICE;LISSE;"87085";AUCUN;;;;;EN SERVICE;LISSE;;2025-03-29;;true;;;OpenStreetMap;WGS84;
1.23071635;45.8210738003761;;;;way/923103937;;"87085";AMENAGEMENT MIXTE PIETON VELO HORS VOIE VERTE;AIRE PIETONNE;BIDIRECTIONNEL;;TROTTOIR;EN SERVICE;;"87085";AUCUN;;;;;EN SERVICE;;;2021-08-10;;;;;OpenStreetMap;WGS84;
1.23181555493611;45.8206584097364;;;;way/666431125;;"87085";AMENAGEMENT MIXTE PIETON VELO HORS VOIE VERTE;AIRE PIETONNE;BIDIRECTIONNEL;;TROTTOIR;EN SERVICE;LISSE;"87085";AUCUN;;;;;EN SERVICE;LISSE;;2022-02-22;;false;;;OpenStreetMap;WGS84;
1.23786714983197;45.8424882449688;;;;way/406761946;;"87085";VOIE VERTE;;BIDIRECTIONNEL;;CHAUSSEE;EN SERVICE;LISSE;"87085";AUCUN;;;;;EN SERVICE;LISSE;;2025-12-31;;true;;;OpenStreetMap;WGS84;
1.23852205541242;45.8491280671108;;;;way/1421104161;;"87085";VOIE VERTE;;BIDIRECTIONNEL;;CHAUSSEE;EN SERVICE;;"87085";AUCUN;;;;;EN SERVICE;;;2025-08-09;;;;;OpenStreetMap;WGS84;
1.23951656320258;45.8495037633486;;;;way/1421104160;;"87085";VOIE VERTE;;BIDIRECTIONNEL;;CHAUSSEE;EN SERVICE;RUGUEUX;"87085";AUCUN;;;;;EN SERVICE;RUGUEUX;;2025-08-09;;;;;OpenStreetMap;WGS84;
